문장,혐오 여부,문자 개수,y_pred
American Dream? More like 'American Delusion'!,1,46,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,11,0
좋은놈 찾기가 너무 힘들어. 결국은 모든 이가 전부 악인,1,31,0
우럮따.....ㅜㅜ,0,10,1
혁피 존경합니다 지조도나오는 사람 모두...,1,24,0
전두환 시대를 그리워하는 놈들아 너희들은 그시대에 태어났으면 그냥 맞아죽었어,1,42,0
나도 조국가면 꼭 써먹겠노ㅋㅋㅋ,1,17,0
아하 ㅋ,1,4,0
미국 없으면 다시 구한말로 돌아거는 거,0,21,1
그래서...?,0,7,1
전당포는 안하시는 우주파괴급 파워 아저씨,1,22,0
으아 담주가 마지막회라니이제 무슨 낙으로 사나 ㅠㅠ,1,28,0
강예원으로 이름을 바꾼거구나,1,15,0
꽃님이 한평생 떡치가 끝나네...,1,18,0
나의왼발..,1,6,0
누구보단 잘할것 같다.,1,12,0
양남이랑 섹스하고싶다 좆팔,1,14,0
한국 범죄 영화 중엔 탑이라고 봄,1,18,0
저 앵커 아주머니 겁나 섹시함♡,0,17,1
테란 스캔 5개달고 하는꼴,0,14,1
이러면 조위횽아 다신 한국안올텐데....,1,22,0
"이상하게 들릴지도 모르지만, 내가 한 말은 사실입니다.",0,30,1
했던 말 반복인데? 웜도 물갈이 많이 됐노,1,23,0
오 마이 숄더,1,7,0
계속 코피가 나요.,0,10,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,21,0
와....진짜네..,0,10,1
"아름답고 논리적인 분과 비교되는
바보같고 감정적인 프로파일러",0,34,1
어게인 1910 !!!,0,12,1
"동화나 우화가 애들 읽으라고 하는게 아님

인간의 삶의 진리가 있는데

병신들이 모를뿐",0,52,1
정신병자들 너무 많어,0,11,1
계집이란게 그냥 남자 하위티어... 다운그레이드 버젼 아니냐.. 남자에게 성적 쾌락만 느끼게 봉가하며 살다 죽는게 계집의 존재 이유거늘..,0,77,1
인도판 아이엠샘???,1,11,0
"정치인들의 내면을 잘 보여주는거지...

정치보다 돈이 더 좋아",0,37,1
ㅇㅇ알겠다,0,5,1
"얼굴만으로 미래가 보이기 쉽지않은데 ,,",0,22,1
패리스 힐튼은 상속 아니다,0,14,1
꿈에서 깨어나라!,1,9,0
창의적이다,0,5,1
"미국짱 !



미국짱 !",0,18,1
저 어린이는 구니스...,1,13,0
할스트롬..위대한감각은 사라지지않는다. 잠시 쉬는것 뿐이다.,1,33,0
진리의 노루엣 ^노^,0,11,1
저렇게 순수하고 맑고 자상하고 잘생긴 소년이 존재하긴 하려나..요즘같은 세상에..?,1,46,0
배울점은 배워야한다..이런건 확실하게 배워야함,0,25,1
걍 올려 별들에게 물어봐,1,13,0
귀엽다,0,3,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저런데도 주제파악 못하고 결례 운운하노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅆㅎㅌㅊ라서 개무시한건데 결례는 개뿔,1,70,0
"383 그건 노무 유충을 과대평가한거노 ㅋㅋ
지금 보니 글에 잘 설명을 안 해놓긴 했는데 유충 새끼들 6군대 힘들자나욧! 앵앵!9이라고 말하는 이유는
코리안 워킹 홀리데이 가보지도 않았으면서 벌써 유세 떨려고 저부랄떠는거노 ㅋㅋㅋㅋ
군대에 대한 두려움에 대해 6공감9받고 부둥부둥 받고 싶어서.
저 말 들으면 유충들은 6공감9 못 받았다고 앵앵앵 징징대고 집에가서 스마트폰 게임하고 유투브로 보겸.신태일 볼 생각 밖에 없노.",1,241,0
아직도 여전히 맛이간 맛 방송이 나오는 것은?,1,25,0
나는 믿는다 인간은 진화하며 진하란 곧 선이다,1,25,0
ㄴ 공지보면 신고많이 먹은(10개) 댓글 작성 계정이 차단된다고 하노. 아이피랑 상관없는 것 같다이기야. 만약에 IP 수집하면 계정 여러개 파서 워추/소추 돌리는 것 자체를 못할텐데 말이노,1,105,0
그래도 이정도면 솔직하게 말한듯,0,17,1
맞다 자매님 예수좆교에서 쓰는 워딩같노,1,21,0
종북새끼 이색끼같은 놈들이 대한민국에 숨어있는한 이들이 탈출한 의미는 없다.,1,42,0
전설의 시작,0,6,1
그래도 천만 다행이네요,0,12,1
이쁠까...,0,6,1
중계를 감성 팔면서 하자너~~ㅋㅋ,0,18,1
정말 축구는 전세계 스포츠라는걸 증명함,1,21,0
2편 보다가 f5누르니 사라졌노 다시 올려달라 이기..,0,30,1
홍준표는 우리의 추억이다!!,0,15,1
또봐도 쥰나재밋쩡^^ㅇㅂ,0,13,1
"장각, 우길같은 캐릭터가 떠오름",0,17,1
그래도 태양은 그녀의 머리 위에 비추이더라,1,23,0
제목 번역 어느 바보가 한거야. 미스터 뱀파이어로 하면 되지. 웬 강시 선생?,1,43,0
"처음만날때처럼
텅빈거리에서
내 노래방 애창곡",0,26,1
미야자키 하야오 감독이 하신 말쓴을 보아라. 아베정권을 신랄하게 비판하고 은퇴하셨다. 국뽕을 비판하려는 건 아니지만 일단 사람을 깔 때에는 제대로 인과관계를 파악해야 한다.,1,96,0
"색즉시공, 공즉시색.",1,11,0
오움진리교인줄...,0,10,1
He started showing his true color since Park's impeachment.,0,59,1
저 배우들중에 미아 와시코브스카만 생각남,1,22,0
"우유, 버터 그리고 잼이 필요해.",0,18,1
하정우 싸움연습해라 니맞는거 못본다,1,19,0
수진아... 내가 그렇게 싫으냐?...,1,21,0
결국 엇갈린정의에 대해 말하고싶었던거임,1,21,0
그냔줄개 췌장암,1,8,0
정답은 주변인물이 말한다.,1,14,0
"이래서

야구 > 축구 > 농구

한 시즌 운동량이 넘사벽.

마이클 조단이 야구 도전하고 했던 말이

농구는 노력으로 많은 걸 극복할 수 있지만

야구는 (동체시럭) 타고난 천재들만이 즐길 수 있다.",0,122,1
이런 거 볼 때마다 내가 지금 30대 초반까지 원나잇만 6~70번 하면서 저런 적이 한번도 없다는 게 참 운이 좋았다는 생각이 든다ㅋㅋㅋ,0,76,1
이마 주름이 인상적이야,0,12,1
진짜비상식적인데 이게 실제상황이리리,0,19,1
그 사이코 가족 웃기냐염 ㅋㅋㅋ,1,17,0
명작이네.,1,5,0
"전국민 절도전과1범 만드는
대한항공 담요

여러나라항공사 담요 훔쳐봤는데
대한항공이 으뜸이다이기",0,57,1
굳건하소서,0,5,1
여성부 장관 뺨치는 엄브릿지 연기,1,18,0
시류에만 편승해 행동할뿐..,0,15,1
재밌다 너 만원짜리 있냐?,1,14,0
기대가 됀다 서인국화이팅,1,13,0
직업에 귀천이 어딨냐. 근데 왜 임창정은 자꾸 거리를 둔거지! 자신이 무능하다고 생각한 건가.,1,52,0
"각 대기업도 마케팅차원에서 대량으로 물품을 푸는시기임 미국은
우리나라는 재고품만 내놓는데 반해서.
블랙프라이데이가 마케팅의 최적기라 최대한 물품을 풀어놓기 때문에 가능한것임.",0,99,1
"글의 처음과 끝이 날카로운 칼끝과 같고,

그 칼끝이 노조를 향하는 것 같다.

정말 좋은글이었다 ㅇㅂ",0,61,1
현재 나는 이런 갓파쿠를 만났지!!,1,19,0
노무현의 대통령의 죽음. 누군가에겐 최고의 가치입니다,0,29,1
내가 이래서 산과 안한다.,0,14,1
이제는 전세계 사람들이 하나가 되어야한다,1,22,0
"아무리 생각해도 이건 작품이다
힘들때 마다 볼테니 지우지마라.",0,35,1
악의천살 맄퀴,1,7,0
핵재앙의 심각한 환경사고를 적절한 멜러로로 잘풀어감,1,28,0
착한척하는 마케팅ㅋㅋ,0,11,1
"알리시아 실버스톤은 에어로스미스 뮤비로 데뷔했을걸
날라리소녀 역할인데 겁나 쩔었음",0,46,1
.................,0,17,1
좋은여자 만나라 확률은 10프로인데 무조건 부모를 봐야된다. 재혼매물은 더욱 희박하겠지만...,0,52,1
박용만 완전 썩은 얼굴로 앉아 있네여..,0,22,1
아프리카를 탈출하다야 아프리카로 탈출하다야? 유아용이에유. 유아들이 보면 좋겠네유.,1,46,0
아주 바르게 자라났구나.,0,13,1
다른건 몰라도 그래픽은 범죄수준;,1,18,0
모금하겠노,1,5,0
진심은 방황을 졸업시켜줄 이정표다,1,18,0
안 웃긴적이 없더라ㅋㅋ,1,12,0
미국은 안 끼는 곳이 없구나..,1,17,0
독고진 아구지 잘 처맥이네,1,14,0
중국어쩌고 할거없는듯 우리나라도 마찬가지,1,22,0
뻥임,1,2,0
완전재미있음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ안본사람 바보임ㅋㅋㅋㅋㅋ,1,85,0
"진짜 디자인이 존나예쁜차

롤스로이스 팬텀 드롭헤드 쿠페 잉글리쉬화이트



파가니 존다 hp 바르게타



파가니존다 친퀘 로드스터



쉘비 코브라 1962



포드 머스탱 2007



2013 람보르기니 베네노",0,144,1
만나서 반갑습니다.,0,10,1
Plan to be surprised.,1,21,0
저OO호새퀴들아 진짜 저혹우 들은 2050년에 먼저 태양에 처박힐나라야ㅅㅂ,1,41,0
아주 조아~,0,6,1
키시 아이노 노출수위 어떤가요,1,16,0
캔디따발총의 위력 ㅋㅋㅋ,1,13,0
미친:: 절대안먹어 이제 살빼야지,1,18,0
한남수준에 맞춘 딱 맞는 분석이노. 도태남들 지들이 도태된걸 알지만 믿고싶지 않아하니 염산들이붓고 칼푹찍해서 믿게해줘야한다 이니,1,71,0
진또배기만 모였네..ㅋㅋㅋㅋㅋㅋ,0,17,1
카뮈,1,2,0
진실ㅋㅋ,0,4,1
네,1,1,0
귀신잡는용사 해병 바다의사나이,1,16,0
시원하다~ 양손사격 칼놀림 현란함,1,18,0
이해한다,1,4,0
아빠를 죽인걸수도,0,9,1
강인구속,1,4,0
짱이네~,1,4,0
흠.. 돈많고 권력있는것들은 뭐하면서 사나궁금했더니 저러고 사네.. 의식수준을 높히는게 답이다.. 정신적으로 더 깨어나는것만이..,1,72,0
47852752753257,1,14,0
디테일한 내용 오늘 첨 알았다.,0,17,1
별로,0,2,1
"한국 야구 레전드라는 이승엽도 그랬는데 뭘ㅋㅋ

윗 물이 맑아야 아랫물도 맑지",0,45,1
"이쁘고 슴가도 크고 햐...
이건 부럽네...언제까지 부러울지는 모르겠지만...",0,45,1
"NOW PLAYING.

ENJOY THE SHOW!",0,31,1
니 점수는 너무 낮아.,0,12,1
브레드하고메시는 봐줄만허네,0,14,1
King of PoP,1,11,0
"참신하긴해. 헨젤과 그레텔 오누이 가 또 이젠 대한민국으로와갖고, 마녀사냥 접고 일찐 학생들 사냥해주었으면 좋겠다.헨젤과 그레텔이 마녀사냥 때 했던것처럼,,석궁과 총탄으로 일찐 학생들을 송송 벌집 내줬으면 좋겠구나.헨젤과그레텔-일찐학생 사냥꾼",1,135,0
태양이 없어도 구름에 가린것 뿐이다..,1,21,0
반전반전 앵앵거리지좀마라 좆고딩도 아니고 쯧쯧..,1,27,0
"고대수야 해진, 해보, 악화, 손신, 손립은 어따 갔다버림?",1,33,0
낭나댜지냐차리개답즈나이라라랑대대다아이이츠아니닟탗타ㅏㅇ앵대ㅏ앙애애애이다ㅣㅏㅈ닺ㄷ,1,43,0
日本映?の低力。幸せだよ。,1,13,0
천재 일수도 있잖니...!,1,14,0
이영화 엔딩크레딧 음악 좋더라,0,16,1
진짜 6점은 아니다. 눈들이 똥구멍에 달렸나,1,24,0
마음이 기특하다,0,8,1
언젠가 오감으로 클래식을 즐길 날이 오겠지?,1,24,0
진심 노잼;보지마라 시간아깝다,1,16,0
새로운 시도 언제나 발전하는 한국 문화계!,1,23,0
기레기들은 잘 좀봐라K M J Y D 등,1,22,0
공존으로 가는 길,1,9,0
힘내 꼭 완치될꺼야,0,10,1
전두환 때가 가장 살기좋고 희망이 넘치는 분위기 였지,0,29,1
"어게인 장평 난징 젠부샤스!""",0,16,1
굳ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,1,17,0
초딩기여워ㅋㅋ,0,7,1
"그냥 sns에 한마디 라면 됨.

진실을 인양했을 뿐...",0,34,1
신고버튼 '하세요',0,10,1
펄럭~,0,3,1
우와 ㅋ,1,4,0
ㄱㅆㄹㅇ 원래 다~그래 따위 안 통 하고요 ^됬^,1,27,0
나도 저렇게 늙고싶다.,1,12,0
지뢰제거할 땐 총없이 하는 게 편하지!,0,21,1
최민식 짱 나이트 클럽 영업 전쟁 살아있네 아들한테도 물려주기 세관 공무원 최민식은 머리 하정우는 주먹,1,57,0
지금 이시간에도 잘 넘어간다,0,15,1
"아항, 바로 이해가 되네...ㅣㅣ",0,18,1
"[잠언 21장 15절]
공의를 행하는 것이 의인에게는 기쁨이지만, 불법을 행하는 자들에게는 파멸이 임하게 하겠다.

It is joy to the just to do judgment: but destruction shall be to the workers of iniquity.",0,158,1
나이키 신발이 사고싶어졌다 ㅋㅋㅋㅋㅋ,1,20,0
저군중은 지금 어디서 무엇 할까?-진정 알고싶다,0,26,1
이 얼마나 추악한 세상이냐,1,14,0
좋댄다 ㅉㅉ,0,6,1
점점 띨빵하게 변해가네,0,12,1
ㅋㅋㅋ 야경꾼 일지 정일우 화이팅 !! 야경꾼 일지 지금 부터가 시작 이니까 많은 신청 부탁드려용!!,1,56,0
봊간지노ㅋㅋㅋㅋㅋ 나도 힘주겠노,1,17,0
나는 역전만 본다^-----^,1,16,0
원래 시간 많고 여유있으면 연애광 -> 호색한 -> 변태가 되는 법이지,1,39,0
치토스게이가 무기를 만들어 줄거야,0,18,1
"ㅋㅋㅋ 골때린다 진짜
시장님 골속에 고름이 차겠네요 짜요 짜요",0,35,1
"@Wh네른스트 동물에게 본능이 있듯이,
사람에게도 본능적인 양심이 있다고 생각한다.

다른사람에게 손가락질을 받지 않으려고,
나쁜 행동을 안 하는 것이 아니라,

내 맘속에서 느껴지는,
죄책감, 나쁜 일이라는 게 느껴져서,
악을 싫어하는 것이라고 나는 생각한다.

니가 본 책에서 느낀,
허무, 객관, 상대성 이런 것보다,
절대성이 있다고 생각한다.

따뜻한 가슴을 가지길 빈다.",0,226,1
"일본은 무슨

러시아에게 재추월 꿀잼~!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

이게 나라냐?",0,172,1
"ㅁㅍ

동투르키스탄의 독립과 중공의 패망을 기원합니다

天滅中共!",0,40,1
노출은 있는데 이상하게도 아름답게 보이지??,1,24,0
한결같은 이중좆대,1,9,0
시간은 당신이 정해요.,0,12,1
왠지 김연아 크면 에리카처럼 될것같음.,1,21,0
나....나나난...당신 싫어했었어....,0,23,1
"이건 뭐 드라마에서 볼법한 현실이노

꼭 됬음 좋겠다",0,31,1
집으로 돌아간다 집으로..,1,14,0
"옛부터 조선인에게는 충성심과 의리를 찾기 힘들어, 그들 스스로 그것을 덕목으로 알고 있다.",0,50,1
흑백 아니야 임마 관심 병자 새끼,1,18,0
I felt a good excursion.,0,24,1
"제2의 난징대축제가 열리길 간절히 기도하옵나이다~
아멘~~",0,33,1
롤렉스가 언제부터 하이앤드였다고..;,0,20,1
입모양봐라..ㄷㄷ,0,9,1
님아 서진은 오나라가 멸망하기 전에도 있었어요(사마염이 통일) 니는 약간바보임,1,43,0
저마다 죄책감을 잊으려 발버둥 처본다,1,20,0
김경탁 쵝5,1,6,0
서스펜스를 철저하게 접목시킨 애간장 녹는 실화,1,25,0
좆센 유전자풀 좆창난지 오래. 사실상 근친상간이다 한남충들은 유전병덩어리임,1,41,0
Fort Drum 에 잇을 때 같이 근무 햇던 친구같다,0,30,1
아그리고 되게 신기한거 하나는 내가 그렇게 문제제기 하니까 자기는 전혀 모르더라. 그게 왜 문제야~~? 하면서 ㅋㅋㅋㅋㅋ ,1,68,0
알바 색들 겁나 많네. 그런데 취업하니 행복하냐? 언론조작단도 모자라 평점까지 조작 이런 XXX들.,1,55,0
맞노ㅋㅋㅋㅋㅋ 대학생활에서고 능력 좆나 없는 새끼들이 여기저기 붙어먹으면서 기생하더노. 혼자 밥 먹을줄도 몰라서 벌벌 떠노. ,1,70,0
전세낸거같다느니 씁쓸하다는 말이 나오는 이유가 모에요..?,0,32,1
좋지도 않지만 나쁘지도 않아.,0,16,1
너랑?,0,3,1
임아행이 낳냐 영호충이 낳냐,1,15,0
건강한 생활의 기본은 무엇인가요?,0,18,1
4,0,1,1
크큭.. 남자는 모두 이런상황엔 똑같다..랄까? 화기애애군요.(웃음) 그럼 전 이만(오이! 멋대로가지 말라고 퍽!),0,64,1
아놔 진짜 무섭다,0,9,1
몹시 잠이 와.,0,8,1
http://news.chosun.com/site/data/html_dir/2010/09/04/2010090400515.html,1,71,0
"장선수랑 아는사이인데

여기서볼줄은 몰랐네ㅋ",0,26,1
당신은 천재입니다,0,9,1
그 경찰은 자제력이 상실된 사람이 아니였을까 오스카보다도 더..어떻게 하면 총이 함부로 쏴지는 건데 경찰이 될 자질이 없는 사람이였는데 에휴..,1,80,0
역시 3대도둑은 달라,0,11,1
우리나라 에로영화는 진짜 삽입안하냐?,0,20,1
휴로리 당신을 네 번쨰 악의 축으로 선정합니다.,1,26,0
음? 남주 세얼간이에 나오는앤가?,1,18,0
시원시원하네,1,6,0
김근태 전 장관님 수기 보면 고문 받을때 칠성판에 묶여서 하두 몸부림쳐 발목에 흉터가 생겨서 생긴 딱지를 재판 구금 중에 증거로 쓸려고 몰래 가지고 있었는데 간수들이 와서 뺏어갔다는거 보고 저 시대는 정말 말도 안되는 시대였구나라는 것을 알게 되었음,1,139,0
"모든 정혜씨들, 미안해요.",1,14,0
그냥 입터는 것만 잘하는 관종일 뿐. 그 이상도 그 이하도 아니다.,0,37,1
이미 죽은 사람입니다....,0,15,1
용기와 명예.,1,7,0
그는 우연히 알려지지 않은 동물을 발견했다.,0,24,1
소비성향 바꿔봐야겠노 조언 고맙노,1,18,0
"이광필,이것이 바로 우덜식 민주주의다 나하고 의견이 않맞으면 무조건 숙청인거다.",1,44,0
버팔로 부인 진짜 보살인거같다 ㅋ 자기 남편이 다른여자랑 그짓거리하는걸 보고도 이해한다고 넘어가냐... 눈이 멀어 착각한거라고하면 모를까.. 사실이라면 조선시대 여성상처럼 진짜 대박 보살인듯. 영화는 너무 괜찮았다. 일본 여자 너무 섹시한거같음,1,136,0
아 식혜는 꼭 해먹으리라,1,13,0
오늘도 전국의 복남이가 고통받으며 울부짖고 있다.,1,27,0
일베넘들 ㅍㅂㄱ하는꼴보소 안당해봐서그른가,1,22,0
토익 시험에서 900점 이상을 받아야 한다.,0,24,1
Smmms,1,5,0
"5.18은 인류 문화 유산의 보고다



유네스코 등재는 정말 신의 한수였다 ㅋㅋㅋㅋ



아즈텍 잉카의 환영이 반도에서 꽃을 핀 인류의 보물",0,87,1
갑자기 라디오 틀고 싶다,1,13,0
민주주의를 위한 투쟁은 계속될것이다.,1,20,0
심장이뛴다보면서어이없는게 구급차안이나 화재가나서 출동한집이 니들집이고 니들가족이면그러고 막고싶냐 우리가 소방관없으면 살수잇을것같아?제일 고마운분들이야 니들이함부로대할사람들이아니라고 니들보다 하등한 존재도아니야 알아 제발 제대로 머리에 개념좀박고살아,1,138,0
cms10000,1,8,0
