문장,혐오 여부,문자 개수,y_pred
"빅타이거 회고록을보고 해밍웨이가 생각났다.

그는 낚시와 전쟁때 참전한 경험으로 좋은 작품을 남겼다.
참고로 글을 쓰기위해 전쟁에 참여한 것이라고 한다.

소설가 무라카미 하루키는 해밍웨이를 언급하며 직접 겪어야 글이 나오는 사람이있다고했다.
(출처 : 직업으로서의 소설가)

물론 장대호가 글 작품을 남기기위해 사람을 죽인 것은 아니지만... 분명한 건 그의 글솜씨와 범인인 본인이 직접 느꼈던것이 있었기 때문에 훌륭한 작품이 나올 수 있었다고 생각한다.

1. 그저 평범한 일상을 보내고있던 글 잘 쓰는 장대호.
2. 살인을 저질렀지만 글 못 쓰는 아무개 범죄자.

1, 2번 모두 그저 그렇게 흘러가는 일상에 불과했을것이다.",0,365.0,1
테란 스캔 5개달고 하는꼴,0,14.0,1
낙오자 학교.,1,7.0,0
"@볼만한영화추천좀 ㅇㅇ 많지
내 주변에 영화쟁이 몇명 있는데 욕하던데?",0,40.0,1
태안 앞바다를 오염시키고 태안 주민의 생계와 건강을 짓밟은 삼성을 상대로 싸워줄 사람은 어디 없을까?,1,56.0,0
정말 웃긴다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,19.0,0
"아름답고 논리적인 분과 비교되는
바보같고 감정적인 프로파일러",0,34.0,1
원숭이라고 부르는데 빅풋이 화날만도 하지...,1,25.0,0
지금세대는 그나마 버티겠지만 다음다음세대에는 과연 지구에 무슨일이 벌어지겠는지 심각하게 생각해봐야 할 것이다.ㅠ,1,62.0,0
이 남자.. 진짜 보면 볼 수록 매력적이다..,0,25.0,1
젭스ㅋㅋ,0,4.0,1
"변호사말데로 권력에 언론자유룰 빼앗기면?국민은 아무것도알지못하고 권력자들에게 맹종하는 노예삶을 살것이다,자유인이아닌,그래도 투표로 그들을뽑아주는한 노에로살것이다",1,89.0,0
꿀잼 제조하노,0,7.0,1
"장선수랑 아는사이인데

여기서볼줄은 몰랐네ㅋ",0,26.0,1
cool,1,4.0,0
힘내 꼭 완치될꺼야,0,10.0,1
메인 시나리오에 임팩트가 적은 것 같은데 뭐 두고봐야겠져,1,31.0,0
ㅋㅋㅋㅋ웃기다 빵터짐,1,11.0,0
"[잠언 21장 15절]
공의를 행하는 것이 의인에게는 기쁨이지만, 불법을 행하는 자들에게는 파멸이 임하게 하겠다.

It is joy to the just to do judgment: but destruction shall be to the workers of iniquity.",0,158.0,1
"제시카가 열심히 한게 보이고 , 좀 무섭기는 하더라, 하지만 태연한척 해야겠지?",1,44.0,0
당연하노 절대 내 생에 망혼이란 없노 혐애도 두 번 다시는 없노 이기,1,38.0,0
근래본이야기중가장웃겼음 ㅇㅂ,0,15.0,1
ㅅㅅㅅㅅㅅㅅㅅ,1,7.0,0
솔방울형님 다음시리즈 기다립니다,0,17.0,1
미레이유 난 낙오자가 될거야 기회는 아직 있어,1,25.0,0
zz,0,2.0,1
"어게인 장평 난징 젠부샤스!""",0,16.0,1
일본침몰이 완전 표절이네..그래놓고 괴물이 표절?ㅎㅎ 어이없다,1,34.0,0
진짜 구라안치고 초딩 이후 무섭다 느낀건 처음이네요 나이가 26인데..ㅋㅋ 해와달보고 간만에 고개 돌리고 흠칫흠칫했습니다ㅋ 단순히 깜놀이 아닌 진짜 섬뜩ㅋ,1,86.0,0
어렸을때 빅뱅에서 탑제일좋아했는데.. 잘생겨서,0,25.0,1
전세낸거같다느니 씁쓸하다는 말이 나오는 이유가 모에요..?,0,32.0,1
sheo**** 쓰레기네 결말을 여기에 왜 적어두냐? 뇌가 없냐 아니면 근본이 사악한 놈인가,1,51.0,0
전설의시작ㅋㅋㅋㅋ,1,9.0,0
기모아서 엄청나게 크게 터트릴꺼야,0,18.0,1
진실ㅋㅋ,0,4.0,1
독도야 미안하는데 일본 너의들 우리 독도 가져가지 마라 이 원숭이들아 ㅋㅋㅋㅋㅋㅋ,1,45.0,0
우럮따.....ㅜㅜ,0,10.0,1
같은편도 속이는 현란한 백패스!,0,17.0,1
역사는 돌고도네,0,8.0,1
클레 집을 나오며 조엘의 큰 키 밑으로 바짓가랑이 흩날리는 뒷모습 왜 저는 그게 울컥.,1,48.0,0
착착들어맞는 그들,1,9.0,0
할말없음,1,4.0,0
"새로운 수학을 만들고 싶어서 연구를 하고 있어요.

와 진짜 눈물나게 감동이다.

멋지신 할아버지 선생님, 오래오래 건강하십시요!!",0,77.0,1
꼭 성공했으면 좋겠노.,1,12.0,0
일본은 언제...? 줄까!,1,14.0,0
"이상하게 들릴지도 모르지만, 내가 한 말은 사실입니다.",0,30.0,1
눈물은 진실을 가린다,0,11.0,1
오잉?,1,3.0,0
시류에만 편승해 행동할뿐..,0,15.0,1
sns는 인생의 낭비다,0,12.0,1
박근혜 좀 이런건 봐라 노무현 까는 연극 같은거나 보고 낄낄 대지말고,1,38.0,0
자 비 로 운 사 람 이 에 요,1,17.0,0
맞노 가만두라이기야노,1,11.0,0
이거 커뮤에 퍼갈 수 있냐? 이런걸 계속 퍼날라야함. 솔직히 여자들만 똥꼬충 버리면 자지들은 알아서 자적자한다.,1,62.0,0
알거싶지않아섴ㅋㅋㅋ,0,10.0,1
봉묨ㅂ모몽모뭄ㅇㄷ,1,9.0,0
겨울에 친구들이랑 바다에 가고 싶어요.,0,21.0,1
로빈이 나왔으니까 팬심이다,1,14.0,0
이런 신부라면 요괴라도 상관없다,1,17.0,0
Fort Drum 에 잇을 때 같이 근무 햇던 친구같다,0,30.0,1
"이건 뭐 드라마에서 볼법한 현실이노

꼭 됬음 좋겠다",0,31.0,1
딱죠타,0,3.0,1
지석진 나만 재밌냐ㅋㅋㅋ 난 지석진 표영호 같은 스타일이 재밌던데 지상렬도,0,41.0,1
그래도 이정도면 솔직하게 말한듯,0,17.0,1
오래됐어도 요즘보다 못할것도 없다.,1,19.0,0
저희 식당은 신선한 재료만을 사용합니다.,0,22.0,1
학교 폭력 왕따 빨리 줄어야 한다,1,18.0,0
미달이 맹승지 서로 자랑하는건가?,1,18.0,0
나....나나난...당신 싫어했었어....,0,23.0,1
보고나서 너무 잣 같아서 짱나서 평점이라도 남겨야 될 것 같더라. 개같은 할망구.. 토악질하도 해대서 드러운게 무서운 것 보다 더 하더라. 개고생만 하다 죽은 여주 지옥에서라도 천국 갔으면 해 ㅠㅜ,1,110.0,0
재밌다. 나라가 위험한데 범죄자 개인인권이 뭔상관.이론만 배워서 떠드는 애들과 현장에서 일하는 애들의 대립.,1,60.0,0
보고 또보고,0,6.0,1
"한국 야구 레전드라는 이승엽도 그랬는데 뭘ㅋㅋ

윗 물이 맑아야 아랫물도 맑지",0,45.0,1
그냥 지린다 할말이 안나와....,1,18.0,0
동성애 혐오가 본능이라니...저런 게 베플이라는게 참 어이가 없다.동성애 혐오는 본능이 아니라 무지이다.잘 알겠냐 멍청이들아,1,69.0,0
이런거 어디 더 없나..,1,13.0,0
뭐하는..,0,5.0,1
"살아가야지 내일은 또 태양이 떠오를 거고,파도에 뭐가 쓸려올 지 모르니까.",1,41.0,0
형사녀석 묘하게 끌린단 말이야 거칠고 제멋대로고 재수없는 녀석인데..꽤 멋있어,1,43.0,0
우리나라 에로영화는 진짜 삽입안하냐?,0,20.0,1
ㅜㅜ 눈물난다,0,7.0,1
죄책감이 없나,0,7.0,1
고마해라 마이 뭇다이가,0,12.0,1
엄청 무섭다 일단봐바 어후,1,14.0,0
훌륭한 포크볼이군,0,9.0,1
아버지~,0,4.0,1
계집이란게 그냥 남자 하위티어... 다운그레이드 버젼 아니냐.. 남자에게 성적 쾌락만 느끼게 봉가하며 살다 죽는게 계집의 존재 이유거늘..,0,77.0,1
"각 대기업도 마케팅차원에서 대량으로 물품을 푸는시기임 미국은
우리나라는 재고품만 내놓는데 반해서.
블랙프라이데이가 마케팅의 최적기라 최대한 물품을 풀어놓기 때문에 가능한것임.",0,99.0,1
시뱐 이 내용을 이딴식으로 이해하네ㅋㅋㅋ,0,22.0,1
그때부터 지금까지...,1,12.0,0
볼만했다 어처구니없는 한글 빼고,1,17.0,0
으어어어알ㄴㅇ망ㄴ맒ㄴ,1,11.0,0
뭐하는 거지? 한번 뿐이잖아..,1,17.0,0
"질본
언제 들어도 부랄자극한다",0,17.0,1
그 말을 왜 여기서 하냐고,0,14.0,1
똑똑은 한데 스타성이 없다...,0,17.0,1
아~ 내가 천배 보냈다!,0,13.0,1
웃는모습이....,0,9.0,1
팜므파탈의 진수. 저런 때려죽일 년을 봤나,1,23.0,0
의지.,1,3.0,0
솔직히 어쩔수 없음,1,10.0,0
봊나멋있놐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ역시 보지들이 한남민국에 있기엔 노무 아깝다 이기야ㅋㅋㅋㅋㅋㅋㅋㅋ,1,52.0,0
난 개인적으로 박정희는 위대한 악인이라고 생각한다,0,27.0,1
왜 아무도 김리는 신경쓰지 않는건데ㅋㅋㅋㅋ,1,23.0,0
d,0,1.0,1
니들 사람사는 인생책한번 읽어봐야한다. 어떤 일본여성이 자기 어린시절 이야기 쓰던 책이었는데 애비가 성실한 샐러리맨이었는데 엄마가 어떤 외간남자랑 모텔들어간거 자기가 등굣길에 보고선 애비한테 알려주고 가정파탄난 이야기였는데 주인공인 그 작가여성은 애미가 그 이후로 더럽게 싫고 멍청한아빠는 왜 저러고 이혼도 안하고 사는지 더럽게싫어서 혼자 마음의문을닫고 애비애미한테 한마디도 안하며 그림을 줄창그렸더란다. 그러자가 어느날 애비가 자기한테 다가와서 엄마싫지? 그걸 참고사는 아빠도싫고...그렇지? 난 인간이 싫단다...이 한마디때문에 그때부터 아버지와 추억을 쌓았다고 아버지랑 유년시절 추억을쌓다가 아버지가 병에걸려돌아가시고 애미는 아직도 외간남자랑 정신못차리는 모습을보고 나는 저렇게 살지말자 다짐하며 한 가정의 엄마가 되었고 자기자신은 아이들을 잘키우고 있다라고 끝난 책이었다 보면서 인생은 참으로 비극이다라는 생각밖에안들더라 그사람이 좋게살던 나쁘게살았던,0,480.0,1
"미그기의 MIG가 made in gwang-ju 였노



소오금ㄷㄷ",0,42.0,1
한국 드라마 보다 잡혔나보제.,0,16.0,1
예쁘다..,0,5.0,1
계속 코피가 나요.,0,10.0,1
스스로 솔선수범 추천!,0,12.0,1
영화보다 더 영화같은게 현실이네,0,17.0,1
남자들은 여자들을 관리하는 자라. 따라서 의로운 여자는 순종해야 하며 알라께서 지키시는 것을 비밀스럽게 지켜야 한다. .” (코란4:3) 보지년들이 이슬람이 무섭긴 무섭나보구나~ 코란에는 전혀 손을 못대는거보니 ㅋㅋㅋㅋㅋㅋㅋ근데 이슬람이 무서운데 어찌 남자를 이기겠노 ㅋㅋㅋㅋㅋㅋ 대한민국 이슬람화 시켜야 된다이기야~~~ 눈가리고 내눈에 안보이면 진실이 아닌거같노??? 현실을 봐라 이 빠가년들아 ㅋㅋㅋㅋ 반박불가 팩폭씹인정??? 팩트로 웜썅년들 뒤치게 패니까 존잼^^,1,262.0,0
다들 키보드 손 떼!!!!!,0,15.0,1
이명박근혜 그들의 질주는 친일똥누리당이 있는한계속 된다,1,30.0,0
김규리 살스는 죽이네 와 흥분됨,0,17.0,1
통일호 화장실 강추,1,10.0,0
김동욱씨가 알바생배우랑 왕실에서 빠구리할때 진짜성x맞데고 하는것같았는데 실제 조선왕이 그렇게 재임중에 하루에 한명꼴로 하고잠잤으면성병걸렸을텐데전국에 왕의첩데리고후궁으로뽑힐때까지조선병사도 몰래꼬셔서 성폭생도 몰래당하고했던 후궁이면 문제있음,1,132.0,0
한진 한진! 걸스캔두애니띵~1,0,16.0,1
07 성재희♡ 나다이년들아ㅋㅋㅋ,1,17.0,0
먹고살기 힘든데 먹이라도 주자,1,16.0,0
밖에나가서 카니발 찾아서 사이드미러 부셔버리고 싶네,1,28.0,0
토익 시험에서 900점 이상을 받아야 한다.,0,24.0,1
저희 아버님은 당신의 아버지 얼굴을 모릅니다. 할머님이 아버지를 임신해 있을 때 저렇게 할아버지께선 젊디 젊으신 나이에 무참히 총살당하셨습니다. 일베충이 뭔지 저는 모릅니다. 하지만 알지도 못하면서 4.3 피해자의 가슴에 못을 박지는 말아 주세요.,1,138.0,0
"미니홈피나 개인웹로그, 각종SNS 일절 안하는 사람이라 왜저렇게 랜선소통에 목을 메는지 어리석어보이고 이해안갔는데 영화가 주는 경각심이나 사회적 위기의식은 어느 누구나 느끼기에 충분했다.깊고 진했다. 그나저나 미국FBI도 별거 없구나.일처리 그지같네.",1,140.0,0
슈퍼맨이 같은 유전체로만든놈과싸우고 저때도핵이위험요소군,1,30.0,0
여자 불쌍,1,5.0,0
건강한 생활의 기본은 무엇인가요?,0,18.0,1
ㅇㅁ,1,2.0,0
10분 후에 다시 전화할게.,0,15.0,1
참나 지네들도 화나면 양키 쪽바리 양놈들 하는주제에,1,28.0,0
인간이 동물 중 젤 잔인해,1,14.0,0
"41회 이원생중계에 나온 이지은이라는분 저번에 인천공항편에서도 나온분이던데 목소리가 튀어서 바로 알겠던,.알바인건가요 넘당연한듯이 하던뎅 이원생중계 두번 출연하는분 꽤 되는듯",1,97.0,0
패리스 힐튼은 상속 아니다,0,14.0,1
"장각, 우길같은 캐릭터가 떠오름",0,17.0,1
개이버,1,3.0,0
"5.18은 인류 문화 유산의 보고다



유네스코 등재는 정말 신의 한수였다 ㅋㅋㅋㅋ



아즈텍 잉카의 환영이 반도에서 꽃을 핀 인류의 보물",0,87.0,1
이거 천만명돌파했어요?,1,12.0,0
가면받음헤헤,1,6.0,0
정말 축구는 전세계 스포츠라는걸 증명함,1,21.0,0
디테일한 내용 오늘 첨 알았다.,0,17.0,1
나오겠지 하면 나오고 그렇게 되겠지 하면 그렇게 되는 영화,1,32.0,0
나 이거 이틀간 몰아서 다 보고 우울증 걸렸다 샹... 어떡할거야,1,36.0,0
좋지도 않지만 나쁘지도 않아.,0,16.0,1
미치겠네...,1,7.0,0
바보도 아니고 백제가 충청도 지역이었다는 사실을 누가 모르나?,1,34.0,0
소주병이 뭘의미 하는걸까?,0,14.0,1
20대남자들중 애국자가 많나봐 응?,1,19.0,0
지뢰제거할 땐 총없이 하는 게 편하지!,0,21.0,1
"상당히 그럴싸하게 만들어진 다큐, 전부 사실이라면?",1,28.0,0
공감,0,2.0,1
쓰레기는 아닌데..,1,10.0,0
아기가 넘좋아해읍니다 과학적으로 많이 공되어읍니다,1,27.0,0
개코미,1,3.0,0
"동화나 우화가 애들 읽으라고 하는게 아님

인간의 삶의 진리가 있는데

병신들이 모를뿐",0,52.0,1
꿈의 자동차 총출동! 엔초 페라리 VS 포르쉐 카레라 GT!!,1,34.0,0
"정치인들의 내면을 잘 보여주는거지...

정치보다 돈이 더 좋아",0,37.0,1
잼네 눈에 익은 배우들이 많이 보임,1,19.0,0
신문기사에서 힌트 (금천살인사건),1,18.0,0
꽃 빨아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 짱이었어요,1,34.0,0
이봐 시명이 어쩌피 줄어야할 목숨이야. 우릴 원망하지 마라,1,32.0,0
원영의 국내 탤런트 황정음이랑 좀 닮은 듯,1,23.0,0
아...이런 지도자가 될것이다 나도,0,19.0,1
지금 이시간에도 잘 넘어간다,0,15.0,1
시놉시스만 읽었는데... 일본 만화 약선선녀 마담밍 과 너무 똑같다는... 표절인가?,1,47.0,0
와 진짜 이렇게 정반대였다니,0,15.0,1
와 ㅋㅋㅋㅋ진짜 저렇게 말해주는 지인들이 있다니 주변 잘뒀노 ㅋㅋㅋ나는 솔까 친한 친구들한테도 비혼 저 정도로 강조안함 나중에 나한테 그때 니가 나 말렸잖아!!! 하면서 책임 지울거 같아서 ㅋㅋㅋ,1,109.0,0
임청하가 좀만 젊었어도..,1,14.0,0
김정숙 여사 너무 이쁘셔♡♡♡,0,16.0,1
자국민의 역사를 자국민이 왜곡하는 이상한 나라,1,25.0,0
억울아! 올 여름엔 아빠가 뜨겁게 사랑해줄께.,0,25.0,1
십습니다???,0,7.0,1
함 해보겠노 이기 싸고 쓸모없는건 버리겠다 이기야,1,27.0,0
이념은 피보다 진하지만 돈보다는 약하다ㅋ,0,22.0,1
찍소리라도 내야겠다는 마인드가 졸라 멋짐,1,22.0,0
성별 반대였으면 어땠을까...,0,16.0,1
역시 3대도둑은 달라,0,11.0,1
종교는 명목일 뿐이고 모든게 다 돈때문이다,1,23.0,0
뭔가 있어보인다...,1,11.0,0
혜안의 눈은 정말 커다랗다.,0,15.0,1
합사라은 인표씨 마음 낀장 은 사람조,1,20.0,0
젊은 그대여 마른 기침을 쏘아내라,1,18.0,0
"첫짤 보고 15년전이 그리워서 ㅇㅂ줬따.
렉스턴, 옵티마리갈, 레간자, 카니발...
내 인생의 황금기와 함께한.. 자동차들...",0,73.0,1
이영화 엔딩크레딧 음악 좋더라,0,16.0,1
레드코너 어디서 받아요 osh517kr@네이버 로 알려주 감사해요,1,36.0,0
전쟁은 순수한 애들마저 오염시킨다,1,18.0,0
막말 많이해도 컨셉이고 아이돌도 많이 나와서 좋아요,1,28.0,0
핵재앙의 심각한 환경사고를 적절한 멜러로로 잘풀어감,1,28.0,0
찌질이들 닥쳐라,1,8.0,0
"난 뭔가 러시아만의 가난하고 더러운 모습도 맘에 들더라...

특히 지저분한 경관과 대비되는 ㅅㅌㅊ여자 사진을 보면 그 둘은 서로 안어울리지만 그 나름대로의 감성도 좋음

나만 그러냐? 러시아는 매력요소가 너무 많음",0,124.0,1
군 믿지못하겠네 정말 흣,1,13.0,0
지아장커,1,4.0,0
정신병자들 너무 많어,0,11.0,1
"이둘희 짱이다.



오늘부터 팬이다",0,24.0,1
애국가 부르는 장면에서 소름돋노이기,0,19.0,1
아 다른말 하기도 귀찮다 그냥 쩖이다 이건 봐라 정말,1,29.0,0
우리 카르텔 된거노? 간지..,0,16.0,1
여자는 행복하다,1,8.0,0
"기생충과 조커의 만남
""저는 웃음을 참지 못하는 병이 있어요""",0,35.0,1
"육영수 여사,, 그립습니다",0,14.0,1
카피라이터,0,5.0,1
ㅋㅋㅋㅋ 유리찡날 갖고놀앗엉,1,15.0,0
사람보는눈이 없으니 아직까지 솔로인가?,0,21.0,1
"알리시아 실버스톤은 에어로스미스 뮤비로 데뷔했을걸
날라리소녀 역할인데 겁나 쩔었음",0,46.0,1
"제2의 난징대축제가 열리길 간절히 기도하옵나이다~
아멘~~",0,33.0,1
아따맘마의 오리지널 ㅋ,1,12.0,0
크 멋있노 과학은 여자의 학문이노,1,18.0,0
자수해라이기야 여기서 부랄 털어봤자 소용없노,1,24.0,0
살자!! 꼭 살자 !!,0,12.0,1
와....진짜네..,0,10.0,1
첨엔 풋 하고 웃었는데 끝에는 생각지도 못하게 위로받았다.,1,32.0,0
저군중은 지금 어디서 무엇 할까?-진정 알고싶다,0,26.0,1
지나 의 거손;;,1,9.0,0
"옛부터 조선인에게는 충성심과 의리를 찾기 힘들어, 그들 스스로 그것을 덕목으로 알고 있다.",0,50.0,1
브라질도 좌빨들이 문제구나. ㅉㅉ,1,18.0,0
한국은 영웅에게 가혹한 국가니까. 자본주의의 열등함이지.,0,31.0,1
명작이니 꼭 보십시오. 그리고 유튜브에 검색해보면 결말 4개 다 보실 수 있으니 참고하시길.,1,51.0,0
좋댄다 ㅉㅉ,0,6.0,1
"이래서

야구 > 축구 > 농구

한 시즌 운동량이 넘사벽.

마이클 조단이 야구 도전하고 했던 말이

농구는 노력으로 많은 걸 극복할 수 있지만

야구는 (동체시럭) 타고난 천재들만이 즐길 수 있다.",0,122.0,1
난 그냥 앉아버리는데...,0,14.0,1
오래됬네 ㅋ,1,6.0,0
a girl on the bridge with big eyes,1,34.0,0
아이구 통쾌해 디지겠다 ㅋㅋ,1,15.0,0
그림체 한마바키랑 비슷,0,12.0,1
"일본은 무슨

러시아에게 재추월 꿀잼~!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

이게 나라냐?",0,172.0,1
