문장,혐오 여부,문자 개수,y_pred
저희 아버님은 당신의 아버지 얼굴을 모릅니다. 할머님이 아버지를 임신해 있을 때 저렇게 할아버지께선 젊디 젊으신 나이에 무참히 총살당하셨습니다. 일베충이 뭔지 저는 모릅니다. 하지만 알지도 못하면서 4.3 피해자의 가슴에 못을 박지는 말아 주세요.,1,138.0,0
"미니홈피나 개인웹로그, 각종SNS 일절 안하는 사람이라 왜저렇게 랜선소통에 목을 메는지 어리석어보이고 이해안갔는데 영화가 주는 경각심이나 사회적 위기의식은 어느 누구나 느끼기에 충분했다.깊고 진했다. 그나저나 미국FBI도 별거 없구나.일처리 그지같네.",1,140.0,0
슈퍼맨이 같은 유전체로만든놈과싸우고 저때도핵이위험요소군,1,30.0,0
여자 불쌍,1,5.0,0
ㅇㅁ,1,2.0,0
참나 지네들도 화나면 양키 쪽바리 양놈들 하는주제에,1,28.0,0
인간이 동물 중 젤 잔인해,1,14.0,0
"41회 이원생중계에 나온 이지은이라는분 저번에 인천공항편에서도 나온분이던데 목소리가 튀어서 바로 알겠던,.알바인건가요 넘당연한듯이 하던뎅 이원생중계 두번 출연하는분 꽤 되는듯",1,97.0,0
개이버,1,3.0,0
이거 천만명돌파했어요?,1,12.0,0
가면받음헤헤,1,6.0,0
정말 축구는 전세계 스포츠라는걸 증명함,1,21.0,0
나오겠지 하면 나오고 그렇게 되겠지 하면 그렇게 되는 영화,1,32.0,0
나 이거 이틀간 몰아서 다 보고 우울증 걸렸다 샹... 어떡할거야,1,36.0,0
미치겠네...,1,7.0,0
바보도 아니고 백제가 충청도 지역이었다는 사실을 누가 모르나?,1,34.0,0
20대남자들중 애국자가 많나봐 응?,1,19.0,0
"상당히 그럴싸하게 만들어진 다큐, 전부 사실이라면?",1,28.0,0
쓰레기는 아닌데..,1,10.0,0
아기가 넘좋아해읍니다 과학적으로 많이 공되어읍니다,1,27.0,0
개코미,1,3.0,0
꿈의 자동차 총출동! 엔초 페라리 VS 포르쉐 카레라 GT!!,1,34.0,0
잼네 눈에 익은 배우들이 많이 보임,1,19.0,0
신문기사에서 힌트 (금천살인사건),1,18.0,0
꽃 빨아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 짱이었어요,1,34.0,0
이봐 시명이 어쩌피 줄어야할 목숨이야. 우릴 원망하지 마라,1,32.0,0
원영의 국내 탤런트 황정음이랑 좀 닮은 듯,1,23.0,0
시놉시스만 읽었는데... 일본 만화 약선선녀 마담밍 과 너무 똑같다는... 표절인가?,1,47.0,0
와 ㅋㅋㅋㅋ진짜 저렇게 말해주는 지인들이 있다니 주변 잘뒀노 ㅋㅋㅋ나는 솔까 친한 친구들한테도 비혼 저 정도로 강조안함 나중에 나한테 그때 니가 나 말렸잖아!!! 하면서 책임 지울거 같아서 ㅋㅋㅋ,1,109.0,0
임청하가 좀만 젊었어도..,1,14.0,0
자국민의 역사를 자국민이 왜곡하는 이상한 나라,1,25.0,0
함 해보겠노 이기 싸고 쓸모없는건 버리겠다 이기야,1,27.0,0
찍소리라도 내야겠다는 마인드가 졸라 멋짐,1,22.0,0
종교는 명목일 뿐이고 모든게 다 돈때문이다,1,23.0,0
뭔가 있어보인다...,1,11.0,0
합사라은 인표씨 마음 낀장 은 사람조,1,20.0,0
젊은 그대여 마른 기침을 쏘아내라,1,18.0,0
레드코너 어디서 받아요 osh517kr@네이버 로 알려주 감사해요,1,36.0,0
전쟁은 순수한 애들마저 오염시킨다,1,18.0,0
막말 많이해도 컨셉이고 아이돌도 많이 나와서 좋아요,1,28.0,0
핵재앙의 심각한 환경사고를 적절한 멜러로로 잘풀어감,1,28.0,0
찌질이들 닥쳐라,1,8.0,0
군 믿지못하겠네 정말 흣,1,13.0,0
지아장커,1,4.0,0
아 다른말 하기도 귀찮다 그냥 쩖이다 이건 봐라 정말,1,29.0,0
여자는 행복하다,1,8.0,0
ㅋㅋㅋㅋ 유리찡날 갖고놀앗엉,1,15.0,0
아따맘마의 오리지널 ㅋ,1,12.0,0
크 멋있노 과학은 여자의 학문이노,1,18.0,0
자수해라이기야 여기서 부랄 털어봤자 소용없노,1,24.0,0
첨엔 풋 하고 웃었는데 끝에는 생각지도 못하게 위로받았다.,1,32.0,0
지나 의 거손;;,1,9.0,0
브라질도 좌빨들이 문제구나. ㅉㅉ,1,18.0,0
명작이니 꼭 보십시오. 그리고 유튜브에 검색해보면 결말 4개 다 보실 수 있으니 참고하시길.,1,51.0,0
오래됬네 ㅋ,1,6.0,0
a girl on the bridge with big eyes,1,34.0,0
아이구 통쾌해 디지겠다 ㅋㅋ,1,15.0,0
죄송하다고 틱 던지면 끝이냐 이 좆같은새끼야 재기해,1,28.0,0
치킨먹고싶다,1,6.0,0
왜 하필 자전거를 타야 하는가?,1,17.0,0
역시 이범수 ㅋㅋㅋㅋㅋㅋ,1,13.0,0
"통찰력 쩌노..
웜 기초사상글로 등록해놔야할것같노
워마드의 기본 마인드 및 가치관 이런걸로.. ",1,55.0,0
이상호 기자 화이팅이다!,1,13.0,0
야 솔지히 인정하자. 재미는 있었잖아,1,20.0,0
불같은 성격이 좋은곳에 쓰인 예 !,1,19.0,0
도리안 그레이 졸멋 씹멋,1,13.0,0
과부팔자 과부가 안다...휴~,1,16.0,0
아이허브에서파는 충치예방용 불소치약의 불소함유량이 1500~1700ppm 선인데 이정도면 유의미한 효과를 볼수있겠노? 어차피 헹구면 거의 씻겨나가는 거라 기능성 치약이 의미가 있는지 잘 모르겎노. ,1,110.0,0
문도 ! 자기이름 많이말한다! 안그러면 까먹는다! 저번에도 까먹었다!,1,38.0,0
연기 못한다는님들적어도 님들보단잘해요 그렇게 연기가자신있으면 배우나해요얼마나 잘하는지 보게--------------------------------------해운대 연인들 재밌게 보고있어요월요일이 빨리됬으면 좋겠네요해운대연인들 팟팅,1,129.0,0
영화를 영화로만 봐야지.. 뭔 북한넘들인가?? 미국식 전쟁이라는둥 영웅이라는둥 그럼 니들은 전쟁나면 나라 안구하냐? .. 나라 구하면 다 영웅이지!!,1,83.0,0
부럽다 주성치.ㅋㅋ. 부인 조마너,1,18.0,0
재기절이다 이기야!,1,10.0,0
눈에 보이는게 다가 아니다,1,14.0,0
후반부에 피클 통조림 따라고 따개를 챙겨준 독일 장교의 세심함,1,34.0,0
헉,1,1.0,0
서울 한복판에서 벌어진 거랑 너무 똑같았다..,1,25.0,0
애들 버리고 시집간 콩까루엄마 애들은 왜 싸질렀대?,1,28.0,0
개봉은 17일인데,1,9.0,0
하하하 처음 이네,1,9.0,0
기무라 가족은 멸망해야 한다능,1,16.0,0
월척을 낚았다 지대로다,1,12.0,0
교장:애들 강간하고 다시 기도해서 안그러겠다 하고또 강간하고 안그러겠다고 기도하면예수님이 용서해주시지 않을까나 죄를 저질러도 어차피 기도하면 처음부터 없었던 것 처럼~,1,93.0,0
XXXXXXXXXXX나 멌있엇어요,1,18.0,0
절대 결혼 안할거고 비출산할거다 덕분에 오늘도 보지에 새기고 가노~^오^,1,40.0,0
끝까지 이렇게 뒷통수쳐도되는거임???,1,20.0,0
"참신하긴해. 헨젤과 그레텔 오누이 가 또 이젠 대한민국으로와갖고, 마녀사냥 접고 일찐 학생들 사냥해주었으면 좋겠다.헨젤과 그레텔이 마녀사냥 때 했던것처럼,,석궁과 총탄으로 일찐 학생들을 송송 벌집 내줬으면 좋겠구나.헨젤과그레텔-일찐학생 사냥꾼",1,135.0,0
신발을 왜주고 난리야 눈에서 땀나게시리,1,21.0,0
유단잔가...자 천천히들어와봐,1,16.0,0
바보선언 ㅋ 베끼삼?,1,11.0,0
진짜 어릴적에 보면 오줌 지릴정도로 무서웠음 저 인형색히 진짜 끈질기고 안죽어라 ㅋㅋㅋ,1,48.0,0
"이런 영화를 보면 '왜 북괴의 소행은 모른척 하냐'라는 얼간이가 있는데, 왜 모른척하냐하면, 그러다보면 우리 국민을 죽인 이승만 일당의 만행이 따라서 더더욱 낱낱이밝혀지기 때문이다. 북괴가 죽인 수보다 이승만일당이 죽인 국민숫자가 수십배로 많다.",1,137.0,0
독도는 우리땅,1,7.0,0
트루먼의 30년을 누가 보상 해줄까?,1,20.0,0
보지를 탁 치고 간다 ㅋㅋㅋㅋㅋㅋ,1,18.0,0
아무도 모르게....,1,11.0,0
난 공중부양은 형광등 갈 때나 써,1,18.0,0
파ㅋㅋㅋㅋㅋ,1,6.0,0
소통을 명분으로 내세운 소외..,1,17.0,0
색안경 안끼고 영화보면 누가와서 때리냐?,1,22.0,0
저땐 전부 신인시절 지금 저런 캐스팅할려면 얼마나 들까?,1,31.0,0
흥미진진함 보다는 뜻깊은 명언이 많이 나오네요. 특권은 정치를 잘해야 얻는다,1,42.0,0
윤발이형님.. 깎아놓은 밤톨같네 ㅋㅋ,1,20.0,0
갑자기 밤에 사이렌 울리고 북한군 쳐들어와서 이딴 상황생기는거 아닌지 겁나네;;,1,44.0,0
ㅋㅋㅋㅋㅋ이건 10점 줘야지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,33.0,0
예 아부지 더덛 던질께요.,1,14.0,0
dㅇㅅㅇb,1,5.0,0
이런 식당있으면 맨날간다,1,13.0,0
이게 김치전사보다 돈을 덜쓴 애니메이션이다 김치천사는 뭐한건지,1,34.0,0
저중국인 조폭마누라3세서나손사람이군,1,19.0,0
47852752753257,1,14.0,0
"The Hobbit: An Unexpected Journey, 2012",1,39.0,0
ㅊㄹ,1,2.0,0
침치미니 침치미니 침침치루,1,14.0,0
굿굿구슥?슥?ㅅ쵝?다진찐아긍ㄷ으ㅡㄱ,1,19.0,0
햇님께서 적십자회장자리도 주시기 않았노 슬픈건 햇님캠프에 들어갔다니까 한국내 매출도 줄고 MCM사내에서도 머모님 욕 많이 먹었다 카더라ㅠㅠ,1,77.0,0
이게 재미 없다고???????????,1,20.0,0
롸우,1,2.0,0
게이가 이래서 되는거구나 심건욱 하악,1,20.0,0
세상에 거저는 없다.남의 눈물은 나중에 나에게 그 배로 돌아올수 있다.,1,39.0,0
아... 효도 해야겠네..ㅠㅠ,1,16.0,0
대놓고 스포일러를 써놓은구나 저렇게.. 누가볼지를 모르는데 ㅋㅋㅋㅋ,1,37.0,0
헐 땡칠이 립싱크 절라 웃기넴 ㄷㄷㄷ,1,20.0,0
갓미선성님 존경함니다,1,11.0,0
어렸을때 EBS에 전화해서 틀어달라고 했더니 틀어줬었는데,1,31.0,0
하버드 허벌이노ㅋㅋㅋㅋㅋㅋㅋ,1,15.0,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 초딩때 몸사리면서 봄 진심,1,28.0,0
시벌꼰대할배충 다 모가지를 따서 창자에 대굴빡을 쳐박고싶다 이기 ㅡㅡ,1,38.0,0
"아랍 쪽, 뉴스에 나온것들, 다 풀어놨네 에에에 ㅋ ㅋ",1,30.0,0
인터넷에서 익명으로 밖에 못 얘기하는 놈들. 평생 그렇게 살으렴.,1,36.0,0
어제 MBC에서 틀어준거는 프랑스 더빙판...,1,25.0,0
"도덕을 잃은 야심가, 결국 망하다…. 늘 인과응보의 이치를 염두에 두자.",1,40.0,0
지독해,1,3.0,0
뛰는놈위에 나는놈있다,1,11.0,0
여운때문에 아무것도 못하겠다,1,15.0,0
이스라엘 땅을 회복하소서 !!!,1,17.0,0
전라도 비리를 고발하는 영화,1,15.0,0
"돈,, 돈이 문제야...",1,13.0,0
그땐 시간이 많을 줄 알았지...후회는 언제해도 늦죠 있을때 잘하는게 정답인듯,1,43.0,0
어딜가나 선교사 들이 문제다. 한국 선교사들도 외국 가서 몇명 죽었지 ㅋㅋ,1,41.0,0
분노의질주 이제 누가 그자리를 채우냐ㅜㅠㅠ,1,23.0,0
강용석변호사님 ~ 완전 호감 굿굿,1,18.0,0
이거 실화입니까? 영사놈이랑 외교부 공무원 놈 욕 나오네. 일을 어떻게 그따위로 합니까? 자국민 보호않는 외교부 ㅅㅋ 정부 ..놈들 너무 열받아 ... 언론과 네티즌 아니면 자국민이 타국에서 죽거나 말거나 재판도 받거나 말거나 ..ㅠㅠ,1,131.0,0
미성년자도 성폭력범의 경우 더 강하게 처벌해야 한다는 생각이 절실히 듦,1,39.0,0
올ㅋ 이순재 젊었을적!,1,12.0,0
늑대소년이왜나오냐ㅋㅋㅋ 마치카페베네빙수와 7성급두바이호텔 금가루빙수의차이임. 장르만같다.,1,49.0,0
언제나 내마음 한구석에는 백설공주 그녀가 자리 잡고 있다!!,1,33.0,0
나만 당할순 없다. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,140.0,0
와 젠장 이제 빌런들 다 죽었다,1,17.0,0
일베충이 싫어할 영화,1,11.0,0
역시랩갓! ㄹㅇ 대단하다,1,13.0,0
초등학생인데 저랫ㅇ면 좋겟다,1,15.0,0
쉴새없이 웃기네 ㅋㅋㅋㅋ 틈을 안주네 틈을 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,42.0,0
비트의 저예산버전??,1,11.0,0
최거다,1,3.0,0
쓸쓸함의 끝이네 표현하기가 힘들다,1,18.0,0
나라도...,1,6.0,0
레알이셈?,1,5.0,0
35년전 역사 잊지 맙시다.,1,15.0,0
와...,1,4.0,0
여자 배우들 하나같이 예쁘고 몸매 ㄷㄷ함,1,22.0,0
이야기를 이어나가는 방식이 기가막힌다 ㄷㄷ,1,23.0,0
꽤나 그럴싸하게 그려진 무게,1,15.0,0
4대강,1,3.0,0
와 시바 보는 내내 빡첬네ㅡㅡ,1,16.0,0
선아누님 오래오래 사세요.저 따사모 2005년인가에 만났던 삼시기처럼이에요.,1,42.0,0
일본은 정말 사악한 나라다잔인하고 비인간적인 행위를 일삼는다,1,33.0,0
xlo011 아이디 여러개 만들어서 추한 짓 하지말아라,1,30.0,0
샴페인? 종이컵 안에 든 커피에 버무려진 담배꽁초.,1,28.0,0
ㅋㅋㅋㅋㅋ그냥웃기노이기,1,12.0,0
20년 넘는 세월동안 나는 통키가 남자인줄 알았다....ㅠㅠ,1,33.0,0
하,1,1.0,0
테스트 태수트티수틐ㅋ,1,11.0,0
[8-809,1,6.0,0
"큰아들은 이슬람 민병대로 끌려가 어린 나이부터 전사로 교육을 받는데, 그런 쪽(?)에 소질이 많았던 모양. 어린 나이 뛰어난 전사로 명성이 드높아짐. 그러다가 청년이 된 이 큰아들은 아차 실수로 상대편인 기독교도 민병대의 포로가 되는부분 놓치지 마시길",1,140.0,0
돌아 올거지....안 돌아 올거 알아.,1,21.0,0
ㅇㄱㄹㅇ이노 한냄이들은 다들 못생기고 뚱뚱해서 그런지 학벌 공부 이런거로 한마디 해주면 발작하노,1,53.0,0
거러췌 바로 오리지날 쌍라이트구나..,1,20.0,0
전두환이새끼는 죽어서 광주항쟁 피해자들에게 능지처참 당해라,1,32.0,0
ㅋㅋㅋㅋㅋㅋㅋ 쫄았노. 이기이기 부랄 떨어지겠네.,1,27.0,0
표본이자 기원이다 ㄷㄷ,1,12.0,0
아니 이잼있는게 시청률 10%도 안돼 ?타방송 경쟁이 쟁쟁해서 음..걱정마 종영전에는 30% 넘긴다왜냐 ? 느낌아니까,1,65.0,0
씐나,1,2.0,0
돈을 많이 가진 사람들은 돈만 빼면 왠지 시체인 것 같다..,1,33.0,0
여기 하트날리는년들 왜케많노진짴ㅋㅋㅋ십사탄보지련들어대갔노,1,31.0,0
핵폭탄 앞머리는 역시!!,1,13.0,0
아들 진짜 죽여버리고싶다. 말 준내안듣네 찢어버리고싶다 ㅡ.ㅡ 내아들이었으면 이미 사시미로 뱃대지잘랏다,1,57.0,0
진짜 갓갓련이ㅣ노 빨간약 먹고 시위 참가 꼭해야하노,1,28.0,0
"모금으로 가고싶은데 대신 돈 쓴 기록은 투명하게 공개했음하노.
그냥 얼마얼마썼다 이렇게 하면 언제든 비리 발생해서 뒤집어지는 경우가 많다 이기야. ",1,83.0,0
이런거 조읔,1,6.0,0
카메론 디아즈는 무슨 능력인거지?,1,18.0,0
정준하 저건 출연료 도둑!!!,1,16.0,0
너뭐노 글봊나잘쓴다익이 나초딩땐 글 좆같이썼는데 ㅋㅋ앵나오노 ㅋㅋㅋㅋㅋㅋ 성공하겠다익이야 ㅋㅋㅋㅋ ,1,55.0,0
어이없게 차에서 내려 종이 찌ㅉ어진거 빼고는 볼만함,1,28.0,0
삼빠다 ㅋㅋ,1,6.0,0
약자를 생각하던 김대중과 노무현이 생각나다,1,23.0,0
꿀잼이지만 이자스민 극혐,1,13.0,0
짱재밌엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,20.0,0
은근하고 우직하다,1,9.0,0
피아노랑 미사는 찾아봐야됨,1,14.0,0
와후,1,2.0,0
세쌍둥이 팬들 이기적이네요 세쌍둥이 인기가 얼마나 많은지는 몰라도 쌍둥이네 없었으면 슈돌 제작 들어가지도 못하고 사랑이네 없어으면 편성받지도 지금까지 오지도못해요 쌍둥이네 사랑이네가 빠지면 슈돌도 끝인데 세쌍둥이만보고 다른가족한테 하차하라고 하지마요!,1,140.0,0
끼기긱,1,3.0,0
