문장,혐오 여부
이거 평점 왜케낮어 난 아직도 가끔 보는데 재밌어.,1
"꿈이없이 살 수도 있어 꿈만 꾸며 살 수도 있어, 소년들을 위로해줘",1
이 나라 끝난듯.,0
김정은 유병언은우리편이랑께,0
"저게 사실이면 진짜

수십년동안 그짓을 해왔다는거 아니냐 ㄷㄷㄷ",0
난 너무 재미있게 봤다. 너무너무 멋있는 엘 !,1
꼭 보셔요들...강추입니다!!!,1
왜 이런 감동적이면서도 쩌는 명품애니가 '8'점대??,1
뭐 하나 부족한건 없다. 가끔 tv에서 보면 재밌음,1
대한민국이 짱개국가가 ㅅㅂ 미쳤네 이거 탄핵 왜 안하는 거노 이기,0
@동경이 그래 후임 따는거 같다고,0
"솔직히 난 탈북자들 불편한데 안그러냐?
아무리 좋게 포장해도 결국 그까짓 배고픔,가난때문에 지 혼자만 살겠다고 다른 고통받는 인민들과 조국을 버린 매국노새끼들 아니냐?ㅋㅋㅋㅋㅋ
한번 배신한 놈들은 또다시 언젠가는 배신한다는 동서고금 어디에서든 통용되는 진리를 순진한 일게이들은 모르는거려나?ㅎㅎ
저새끼들 뒤로는 간첩짓하고있을지도 모르는 음흉한 새끼들임.
탈북자들 싹 다 모아서 머신건으로 죄다 벌레죽이듯 쏴죽여야 대한민국의 미래가 보장된다.ㅎㅎ",0
재밌음,1
@으아ㅏ아아아아 차지철,0
이제 곧 19렙 문슬람 '일뽕xx단장'이 와서 부들거릴 게시물입니다.,0
@재밌기힘들다 응 니가 홍어,0
와..진짜 잘만든 애니메이션이다!,1
꺼어억,0
융납,0
엄청 재밌네요. 음악도 좋고 연인끼리가면 아주 좋을것 같고 솔로들도 혼자가서 보세요. 연애욕구가 미친듯이 일어나네요,1
"박중훈,차태현 이 콤비 골때린다ㅋㅋㅋㅋ언제봐도 재밌고 유쾌한영화!!!",1
수수하고 평안함을 마음에 갖다주는듯... 재밋게 봣어요,1
내로 남불 오지네. 최순실 무당설 퍼뜨리던 놈들이.,0
@돈주면전라독립 문정권 망하면 춤을 출거다,0
최고. 무스존재감대박이다진짜ㅜㅜㅜ,1
두분의 마음에 동화되어 울고웃고하네요16부작이란게 벌써 아쉬위요~~~,1
재미있다,1
쿠엔틴 저리가라 포스. 오랜만에 찾은 보석. 최고,1
기업가=애국자,0
"감독의 연출, 배우들의 연기, 음악까지 모든 요소의 환상적인 조합!! 향수의 잔향처럼 계속 생각나고 보고 싶다;;;",1
이규형 감독님 실화 맞으세요? 김정훈이 이규형 감독님이시구요 ㄷ 대단하십니다 근데 더대단한건 리수연 금메달 도 실화인가요 ㄷ 아무튼 영화재밌습니다 엔딩곡은 너무 평화롭고 좋네요 ㅎㅎ,1
좋다. 나도 나의 바다를 찾아 나아가야지.,1
롯데팬으로서 영화관에서 보고 울었따,1
@학술적일베 호옹이;;;신기하네 자기 공부 잘한다더니 진짠가보네 신기하다,0
"싫어도 강용석이 대단하긴 한건 인정해야하는게;
일부러 아들 이름 틀리게 해놓음..
그러면 아들 관련해서 측근들이 입 근질근질한데 차마 말은 못하겠지.
그래도 이름 틀린거 정도는 수정해 줄수있으니까,
그 이름 아니라고 정정해주는 사람 타고 들어가서 조질수있게끔..
확실히 변호사라서 증거만드는 낚시질을 잘함.",0
잊을수 없는 드라마,1
아름다운 인간임을 증명,1
잔잔하게 그리고 마음에 뭔가 콕 와닿게 봤던 영화입니다. 음식과 음악과 영상과 그리고 사람들....,1
"전작보다 100 재밌다. 배우, 내용 모두 세련됨",1
예전에 영화관에서 엄청 재밌게 보고 많이 공감했는데 진짜 요즘 더욱더 생각나는 영화,1
"@BloodChina ㄹㅇ 한 번 나야 할 듯.

저게 다 살만하고 배가 불러서 그런거임.",0
이거...good 김지우 매력있써 ㅋ,1
"뒷통수 얼얼하게 맞으니까 저런 말을 하지 ㅋㅋㅋㅋ

역으로, 그 두 사람이 챙겨줬다면 지금도 그쪽에서 열심히 공작하고 있었겠지",0
확보왕,0
동구구ㅣ엽당ㅋㄲㅋ!채고다채고~~,1
잼있든데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
처음에 엔딩만 봤을 때 한번 울고 나중에 다 봤을때 또 울었다. 너무 슬프다. ㅠㅠ,1
드림웍스가 또 한 번 일을 냈다!!!!,1
박용만 저 인간 북한에 대해 호의적인 발언한거보고 별로 안좋았었는데 달라보이네,0
@익명468ec4 ㅋㅋㅋ 법적으로 직접민주주의를 가능케 한 인물은 전두환이다. 또 이건 절대 인정할리가 없고..ㅋㅋ 개정헌법정신에 원칙은 전두환대통령의 결단으로 직접민주주의가 이승만대통령 이후로 재개되게 되었다. 이게 맞는 표현이다. 현직 대통령이 비토하지 않고 개헌 승인과 개헌 개시의 모든 시작과 끝이기 때문이다. 이게 법이다. 좌파새끼들 하여튼.. 지 유리할 때 인민재판 가미된 판결문 들고 오는건 그냥 종특이다. ㅋㅋ 우리나라는 사실 대법원이나 헌법재판소도 못 믿는다 특히 정치적인 판결은. 최규하대통령이 내린 합법적인 계엄령 하에서 시위 자체가 불법인데.. 광주사태가 왜 법적인 판단으로 민주화운동이 되나.. ㅋㅋ 불법시위인데. 여기에는 너네 자식도 총에 맞아 죽어봐라 기분이 어떤지.. 이런게 있는거고. 대한민국같은 유사국가는 이런데 40년 휘둘릴 수 있는 쪼렙이라 그런거고. 그걸 절대로 표로 전환시켜서는 안되는데 좌파정치인이 저질스럽게 그걸 표로 전환시킨거니 질이 안 좋은거다 정치인이..그걸 국민 특히 저짝 종족들이 와~~~ 하고 그냥 들고 일어나는 게 묵인되는것도 개판인거다,0
이도저도아닌 포지션으로 일년뒤면 사라질듯,0
"은근히 중독되는거 같아요, 한번보면 멈출 수 없었어요. 잼있었어요.",1
"내가 먼저다 ""먼저인""",0
할당량 못채우고 디지놈 놈들은 나가 확 죽여버릴껴,1
81살... 핵동안이네,0
이방카는 사랑이다.,0
그래봣자 조회수2000따리 살기위한 몸부리띠~ㅋㅋㅋㅋ,0
"하 씨발 일베새끼들도 아는걸 왜 귀막고 안듣노



요즘 좌파새끼들 다 존나 행복한 바보병신들같음",0
@가난한일게이 데헷,0
내 첫사랑 좀 닮았노. 슬프노,0
내 생애 최고의 영화중 하나!,1
"KBS는 ""슈퍼차이나""라는 다큐 만들었는데 중국몽 신나게 빠는 내용임.
그래서 짱깨국 가서 상까지 받고 옴.",0
에드웨스트웍이 출연하는거라면 당근 후회하지않는 영화임!! 역시 로맨틱코메디 종결자 샬레이걸 흥행 ㄱㄱ,1
@노뮌현 감비아,0
일베라고 다를게 머냐?,0
이나라는 남자로 태어난게 죄를 지은거다,0
재밌게 봤는데 왜 평점이 이런지 모르겟다ㅠ!,1
"중국 우한시 직촬 영상

https://youtu.be/WEW3Xd2C74k",0
ㄱㄱ,1
ㅎㅎㅎ무슨 말이필요하죠,1
배우들 연기덕분에 7점대는 될 듯,1
차차기 대통령감이다,0
"@익명09f061 오늘 기사는 2등이다.
표본마다 그만큼 차이가 크다는거다
넌 그렇게 재가입까지 하며 일베에서 이러고 싶냐?
진짜 왜 황교안이 전라도 관련은 무시하는지 알겠다",0
@한번씩개소리주낌 히에이는 그런 말 안해...,0
이름이 화장실ㅋㅋㅋㅋ,1
그래도 설라도 개돼지들은 잘한다 박수침,0
문재인 반대 시위하면 뭐라고 기사쓸지 궁금하네,0
진짜 존나 만만하게 보는듯,0
불났는데 씨발 잠이 오냐?,0
역시 전미선...여운이남는영화..,1
80%에 페티쉬 있냐 좆병신씨발새끼야? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 국민의 80%가 문씨발에 의해 생활이 더 어려워졋다고 해라 ㅋㅋㅋ,0
내 평생 최고의 영화. 절절하게 가슴을 울리는 구애. 평생 잊지 못할 여운.,1
간에 쉬는시간이 너무 길고 애매해서 반점 뺐어요. 그리고... 제가 보기엔 뭔가 좀 웃긴데 ㅋㅋ 저희아이(4세)는 정말 좋아해요. 내용도 좋은 거 같고. 다만 일본거를 더빙한거라 확실히 일본것 같다는 느낌이 강해요.,1
참 잘만든 영화...이런 영화가 많아지길 바라며 10점!!,1
개코원숭이 흉내내는 개그맨 닮았다,0
그들의 욕망은 더러운가? 출중한 외모의 부유한 정상인들의 욕망은 깨끗한가? 그들을 보듬어 줄 수 있는 유일한 방법이 환상 또는 죽음뿐이라는 사실이 슬프다. 오랜만에 눈물나는 영화을 봤다.,1
영화는 좀 아쉽지만 한길수란 인물이 존경스럽군요.,1
울고 싶은 하루...꾹꾹 참아 누르다가 이영화에 기대어 펑펑울었네요 결국 해피엔딩이라 좋았고 장나라의 맑고 순수함이 마음을 정화시켜주네요 아픔이있는 세사람이 서로 채워주며 만들어가는 세상 결코 혼자인 사람은 없다란 생각에 마음 따뜻한 영화였어요,1
권상우가 야수냐?,1
내가 1빠인가? 9점은 뭐지?,1
ㅅㅂ 대통령님은 무슨..,0
즈그들이 뽑았는데 ㅋ 대수임?,0
최고로 멋있다 이영화 정말 최고다,1
누구나 요리할 수 있다! 진정한 드라마였다,1
"솔직히 편리스머프, 허영이스머프, 그리고 사세트 등을 보고 싶었어요. 그게 좀 아쉽긴 했으나 그래도 좋은영화! 9점 드릴게요",1
괜찮네요,1
남녀주인공 연기좋아요 단순 에로로 보기엔 진짜 아까움 티비나 영화에서 자주봤음 좋겠다~~,1
"그럼 폰 씻을 때 비누칠해서 씻어도 되노?
와 근데 방수기능 있으니 폰 깨끗하게 씻을 수 있겠노",0
네이버 영화평점 처음 올려봅니다. 영화가 우리 삶에서 해줄 수 있는 가장 완벽한 역할을 이 영화는 해냈다고 봐요.,1
"문재앙 틀딱 대신 똥쉰내 풍기는 좌좀 틀딱들께서

대신 ㅁㅈㅎ 폭격할 게시글로 판명되었습니다.",0
정말로.. 눈물 흘리고 또울고있다.. 천안함 희생자 어머니의 표정..,0
피아제 2시즌 열려라 제바...ㄹ~,0
달창병신들ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 무적권 자한당 끄나풀이 폭행했다고 욕 존나하더만,0
tv판용으로 만화책 결말까지 나왔으면 ...ㅎ,1
폭력지상주의가 극우지,0
"의학드라마 다운 의학드라마! 골든타임 이후 제대로 된 의드가 나왔네요~ 의드 마니아로써 너무 좋고 연기도 넘 잘하시네요! 탑팀이라는 소재도 좋네요 비밀,상속자들 때매 시청률 안나오는건 참 아쉽네요ㅜ 시청률 더 올라갔으면 좋겠어요 힘내세요 메디컬탑팀!!",1
감동+재미 전형적인 아담샌들러풍 코미디 ㅋ ㅋ,1
"답답할때 뻥뚫어주는 영화!! WOW, 최곱니다. 한국액션의 발전향상을 보여주네요!",1
골때리게 웃겼다..ㅋㅋㅋ 코미디 영화가 웃기면 장땡이지,1
"신인감독님 같은데.,, 영화 너무 잘만드셨어요재밌어요 잘봤습니다다음영화도 기대돼요^^",1
보지년 개 논리 미친년아 팩트를 제시할 때 근거 가져와 미친년이 보지가 나대니 ... 보지는 그냥 보지 보여주고 쳐 박히면 되는데...,0
어릴때 감동으로보고 성인이되어 또 생각나서 찾아보고 ost는 제 폰곡리스트를 차지했습니다 월트디즈니명작^^,1
@대봉강 강하,0
잔잔하게.. 뭔가가 오느 느낌..,1
박진희의 매력에빠져들다~~~,1
재미있었네요 킬링타임용 추천,1
@예지이 보지털털 인가 봄,0
@익명ed83db 다크소울,0
@익명a35aad 그래서 어플이름 뭐노,0
머리검은 짐승그자체노 ㅋㅋ,0
이해못하고 1점 준 찌질이놈들 때문에 평점이 깎였네.,1
따뜻한영화 기대안하고봤는데.. 감동도주고,1
@익명_87dca2 ㅋㅋㅋㅋㅋ 누군 그 자신이 없어서 못사귀었겠냐,0
당시에 이런 영화를 만들수 있다는것이 놀라울뿐 명작입니다,1
@욕안할꺼야 안철수 지금까지 한짓거리 보고도 봉사 하나 한걸로 뽑겠다고?,0
본적이 있는데 좀 재미있었어요,1
주변이 종북이 아니라 저새끼가 종북이야,0
역시 모두까기인형 진중권 ㅋㅋㅋㅋㅋ,0
좋았다,1
드라마가 살아있는 가슴 먹먹해지는 영화였다. 진짜 최고다. 만화랑은 조금 다르니까.. 너무 만화 생각하면 안된다. 원작을 뛰어넘은 영화였다.,1
꽃보다남자2편 햇으면좋겠다추억돋네 재방봐도재미잇어,1
내가 제일 좋아하는 애니메이션♥,1
괴짜스럽고 발칙한 재미가 있는 영화 오르페오 같은 친구가 있음 좋겠어,1
내가 로맨스를 별로안좋아하는데 임창정때문에봤다. 임청정 순수해보이고 풋풋하던 그시절... 지금 다시봐도 명작이다,1
이거 진짜 막아야 하는거다. 이건 자유와 법치와 생존의 문제다.,0
"""비폭력시위, 말한마디로 3억인구를움직이는""""간디""""존경합니다""",1
"미지막 요강 1만원 떴으면

떡볶이 아지매처럼 주저앉은 명짤 나왔을건데

개패다가 죽기 직전에 힐주노ㅎㅎ",0
사회적 분위기 때문에 마구잡이로 부서지는 파괴씬은 없었지만 그럼에도 전투씬은 정말 최강이였습니다ㅎㅎ 개그도 깨알같고 웃으면서 봤네요 ㅎㅎ,1
"민족의 산불
운지초
행동하는 거짓
Doyota 'DIE' Zoo",0
행게이는 뭐다?,0
제목의 편견이 아쉬운 최고의 영화,1
와 저걸참네,0
이재용 표정보니 조만간 조선에 지옥이 닥치겄노,0
@익명ef212f 일본 주식 전문가냐? 일본에 유망기업 있냐,0
감독님 화이팅!!! 대박 기원합니다.,1
초6부터 7세까지 우리아이들이 최고의 영화로 꼽은 아름다운 영화이다. 더빙하지 않은것으로 본 7세아이도 충분히 이해하였음을 참고하셔도 될듯함.,1
저희 집 냥이가 [일베로]를 클릭했습니다.,0
"ㄹㅇ 탈라도

진짜 안보관 반도 1등 개씹 ㅄ 좆경두랑은 차원이 다름",0
나니아 재밌다.. 뭔가 멋진데^^,1
사고뭉치이지만 어머니에 대한 뜨건운 사랑이 눌물겨워 감동적이었다.,1
팩트: 문재앙때문에 돈 없어서 새 차는 무슨 차 수리비도 빠슷한 상황임 ㅋ,0
"누가 스티커 몰래 얹어놓은 것 아냐?

창문에 비쳐 보일래나?",0
선제동자가 부처가 돼기위해서 수행을 하는것이라고 어버지께서 그러시더군요 배경이 현대라서 몰입이 조금 덜된것 같네요,1
나루토 ㅜㅜㅜㅜ너무 불쌍해,1
"@파워있는산수유님 10년전에 너를 생각해봐라

지금 너 주변의 사람들이 그때의 너를 지금 너라고 생각하길바라노",0
케네디언은 사이버모욕죄 적용 안되죠,0
정경심 가능,0
반전 대박이네여...,1
욕이나 담배피는것이 나오긴 하지만 연기력 너무 좋고 재미있었습니다,1
또라인가 ㅋㅋ,0
만우절 ㅋㅋㅋ,0
이때까지 본영화중에 손꼽히는 영화같아요 왜이제서야봤을까ㅜㅜ영화관에서볼걸 진짜재밌다,1
짜짜라자짜짜짱가,1
미친놈이노 핀란드 사람이 일베를 하고 예전에 러시아 게이 생각나네,0
어릴적꿈에나타난데일리 므흣 ㅋㅋ,1
백문이 불여일견인 드니로 스콜세지 콤비의 걸작 + 조페시,1
그래도 좋다고 다음 총선 대선 민주당 뽑고 공산 독재사회로 완전히 거지 되 버릴 듯,0
기대하고 본건 아니였는데 재밌었어요,1
와 대박... 진짜 영화 한편 본 느낌.... 연기자들도 한명한명 다 너무 잘 소화함...,1
링크어딧노,0
너혹시마틸다??,1
재밌네요 ㅋㅋㅋㅋ,1
소소한 일본영화. 재밌어요,1
귀여운 캐릭터들도 많이 나와서 보러 가야 겠어요..,1
어쩐지 애새끼들이 간판은 괜찮은거 같은데 대가리가 씹창이더라니...,0
"화려한영상,ost,신명나는춤판,배우들대사가여운을주는명품드라마",1
심지어 수출한적도 없는 제품임,0
한국콜마 제품 사서 인증하면 ㅇㅂ 갈듯?,0
대단했던 드라마,1
"@낭중지추 군사쿠데타와 함께 두테르트 맞냐
필리핀 대통령
그런 사람 나와서 좌빨역적새끼들 다 처형시켜야 이 나라가 산다",0
대단한새끼ㅋㅋㅋㅇㅂ,0
"부정하고 싶지만, 받아들어야 하는 영화",1
이번에 프랑스영화는 거의 두 번째로 접하게 되었네요. 그리고 영화보고 처음으로 리뷰를 달아봅니다~ 시작이 너무 잔잔해서 괜히 골랐다 생각했는데 후반으로 진행될수록 정말 가슴이 뭉클해져서 여운이 오래가네요... 제 삶을 돌아보게하는 영화였습니다!,1
통일의 꽃 임수경 만들고 전향 했단 말 없지 오늘 맞고소 들어감,0
@사마리안 너 조선족,0
20세기초반스타일인데?,0
야인시대 눈물의 곡절 그새끼같노 ㅋㅋㅋ,0
역시 웨슬리스나입스~,1
2도 재밌고 무엇보다 결말이 마음에 드네요.,1
기대이상으로 훨씬 재밌는 완결편 역시 헤더가 나와야 잼나 ㅋ,1
방금다봤는데 개소름 진짜대단하다,1
@LadyKaKaS2 니가 젤 나쁜 새끼야 ㅠㅠ 스타트 끊은새끼,0
@킹타이거 텅스텐이나 기타 광물 좀 있는건 사실인데 얘가 말한거처럼 환경 문제 때문에 개발 안하는건 아니고 수지타산이 안맞아서 그럼,0
"변땅크는 뭐하냐
아직도 조원진 똥꼬 빠냐?
댓글에 이거보고 조원진으로 정햇다 달지마라",0
정말 긴장감있고 재밌다.최지우 역시 멋지다.,1
그렇지 이것이야말로 퍼니게임이지..최고의 살인마들.. 나도 끼워줘!!,1
평점이 지나치게 낮네요,1
죽기전에 봐야할 영화로 어디선가 꼽길래 봤던 영화 슬럼독 밀리어네어 처럼 빈민가를 그려냈다 차이점이라면 슬럼독은 과할 정도의 긍정의 영화라면 이 영화는 그 빈민가의 현실을 아주 적절하고 사실적이게 잘 그려냈다.,1
"상상을초월하는 독재시스템을 완성해낸 문주주의정부.
뭐 니들세상을 실컷즐기길 바란다ㅋ

하늘높이 솟아오를때가 있으면
추락하는 때가 반드시 오는법.

니들이 지랄쳐댄거의 몇배로 쳐맞을때가 닥치리니...
그땐 부엉이바위에서 뛰어내리는정도론 못막을꺼다ㅋㅋㅋ",0
진짜 너무 재밌어요 ㅠ..,1
2일 지나서 ㅇㅂ 못주네 근데 이 좋은 글을 그 때 바로 못봤네 암튼 좋은 정보 감사,0
"일 못 하고 정치 못 할 수도 있는데

저따위로 약은 팔지 말아야지

미세먼지 공약도 그렇고",0
",",1
잼있었다,1
존나 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
단순한 욕망이 문제가 아니다. 이는 한국사를 돌아본 이데올로기에 대한 모순을 지적하고 있으며 극 중 다양한 오브제를 통해 암시하고 있다.,1
그 아버지에 그 아들,0
저 시발련 얼마전엔 박미선이랑 kbs에 나와서 감성팔이하더니 엠븅신에도 나왔네,0
1등운 써버렸노 ㅠ,0
ㅠㅠ 눈물이 주룩주룩나는게 아닌데 더 슬프다,1
다코타패닝이 넘 좋다 봤는데 재미있었다,1
@40년째모태쏠로 홍틀,0
일본한테는 불매운동은 괜찬고?,0
신년을 베를릴과 함께 시작!,1
더 말할 필요가 없는 명작이다 정말 재미있게 본 작품,1
@트럼프미국대통령 공중급유기 사업에서 미제 사줬으면 당연하게 한국산 훈련기를 팔 수 있었을텐데,0
재인아 이대로만 가자 진짜 개좆같은 세상 다같이 망했으면 좋겠다,0
홍어나 짱개나 어딜가나 도움 안되는건 똑같네,0
진짜 봤지만 다시봐도 재미있음,1
찰리채플린 정말 존경해요,1
동물이나사람을 조렇게하고 그걸 구경하는 놈들은 식칼로 일가족을 썰어 죽여야한다,0
초등학교 2학년때 주말의명화에서 봤었는데 한달동안 여운이 남던 영화~ 킹왕짱~!,1
ㅁㅈㅎ ㅁㅈㅎ,0
"내용도재밌고 윤아언니 연기도 최고!!! Sm제작, 윤아발연기라는 편견버리고 봐주세요! 기대이상입니다!!",1
tv드라마 재미를위해 뻥을좀추가한것이 가장 큰 원인,0
프랑켄슈타인이란 이름의 영화 너무많다..ㅠ 내가본건 이거하나지만 이거하나로 만족할래,1
완전 재밌었다. 하지만 9점을 준 이유는 아카네 영어발음때문...,1
재미있던걸요...왜 극장에서 안하는거죠? 영화 광해때문에 빨리 내린건가요? 대기업의 횡포인가요...ㅠ 저예산 영화를 살립시다...,1
부캐동원 10ㅈㅎ 씨발년아 어디 인기글 날로먹을려고,0
젊음이란 꿈을 이루기에 충분한 시간!!,1
청와대 ㅋㅋㅋㅋ수준ㅋㅋㅋㅋ 상이면 다 좋은줄 아나 ㅋㅋㅋ,0
그래도 구지성 벗은모습 봐서 돈은 안아까웠따.,1
전형적인 홍어,0
"민주당정권은 알고 저런거다.
사회시스템 정지시키고 붕괴시키는게 목적인데

웬 마스크업체가 치과에 숨통 트이게 해주니
악덕기업으로 이미지 씌워 조리돌림 시킨거임",0
고전이 될 영화,1
"아 ㅋㅋㅋㅋ씨발 뭔 떡밥 터지면 간간히 갑수좌 드립 나오는데
저거도 봤었는데 씨발 ㅋㅋㅋ방송타노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ갠적으로 저 드립 ㅈㄴ 재밌음",0
김혜수님 멋있었어요. 좋았어요,1
요리프로가 지겹지도않고 잼있어요 잘보고있습니다 화이팅!!!,1
쩌뚱이 새끼 얼굴에 능욕뼁끼칠하고 인증하면 천베는 갈듯,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 약빨고 만들었노,0
